书名,作者,出版社,出版时间,价格,评分,评价人数,简介,书籍链接,出版年份,主要作者,译者编者,评价区间,价格区间,出版年代,评分等级,出版社热度,作者热度,热度指数,简介关键词
看不见的女性,卡罗琳·克里亚多·佩雷斯,詹涓,新星出版社,8.0,9.1,21901,,https://book.douban.com/subject/35942057/,,卡罗琳·克里亚多·佩雷斯,,1-5万,0-20元,未知,9分以上神作,1,1,39.49822190118927,[]
翦商,李硕,广西师范大学出版社,2022-10,99.0,8.9,37105,,https://book.douban.com/subject/36096304/,2022.0,李硕,,1-5万,60-100元,2020.0年代,8.5-9分优秀,5,1,40.66794867973196,[]
一桩事先张扬的凶杀案,[哥伦比亚] 加西亚·马尔克斯,魏然,南海出版公司,6.0,8.7,62582,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯,https://book.douban.com/subject/24382569/,,[哥伦比亚] 加西亚·马尔克斯,,5-10万,0-20元,未知,8.5-9分优秀,1,3,41.72911011273887,"['最终确定', '家生涯', '切地想要']"
帷幕,[英]阿加莎·克里斯蒂,李杨,新星出版社,2.0,9.1,21057,,https://book.douban.com/subject/26292535/,,[英]阿加莎·克里斯蒂,,1-5万,0-20元,未知,9分以上神作,1,1,39.34290812390007,[]
包法利夫人,福楼拜,李健吾,人民文学出版社,1.0,9.1,32645,,https://book.douban.com/subject/25897678/,,福楼拜,,1-5万,0-20元,未知,9分以上神作,1,1,41.07573172375839,[]
父权制与资本主义,[日] 上野千鹤子,邹韵,浙江大学出版社,3.0,9.2,21431,,https://book.douban.com/subject/34896921/,,[日] 上野千鹤子,,1-5万,0-20元,未知,9分以上神作,1,2,39.84559041390279,[]
雕刻时光,[苏] 安德烈·塔可夫斯基,张晓东,南海出版公司,5.0,9.4,11098,,https://book.douban.com/subject/26435510/,,[苏] 安德烈·塔可夫斯基,,1-5万,0-20元,未知,9分以上神作,1,1,38.025300372494584,[]
一个女人的故事,[法]安妮·埃尔诺,郭玉梅,上海人民出版社,10.0,9.0,22249,,https://book.douban.com/subject/36078195/,,[法]安妮·埃尔诺,,1-5万,0-20元,未知,9分以上神作,1,1,39.12579446422673,[]
在细雨中呼喊,余华,作家出版社,2012-11-1,25.0,8.8,89444,,https://book.douban.com/subject/20421947/,2012.0,余华,,5-10万,20-40元,2010.0年代,8.5-9分优秀,4,3,43.57365067385598,[]
我也有一个梦想,林达,生活·读书·新知三联书店,2004-08,25.0,9.0,16827,在法治国家里，民众怎样运用法律,https://book.douban.com/subject/1014825/,2004.0,林达,,1-5万,20-40元,2000.0年代,9分以上神作,13,2,38.03406025256261,"['家里', '民众怎样', '在法治国']"
激荡三十年（上）,吴晓波,中信出版社,2007-1,35.0,8.8,33498,这是一个最好的时代，也是一个最坏的时代,https://book.douban.com/subject/1970428/,2007.0,吴晓波,,1-5万,20-40元,2000.0年代,8.5-9分优秀,1,1,39.820166128459846,"['最好的时', '也是一个', '这是一个']"
尼罗河上的惨案,[英] 阿加莎·克里斯蒂,宫英海,人民文学出版社,5.0,8.7,54007,阿加莎·克里斯蒂代表作,https://book.douban.com/subject/1818347/,,[英] 阿加莎·克里斯蒂,,5-10万,0-20元,未知,8.5-9分优秀,1,3,41.17231546638277,"['阿加莎', '代表作', '克里斯蒂']"
情书,[日] 岩井俊二,穆晓芳,天津人民出版社,7.0,8.6,112875,一场同名同姓的误会，两段可贵的爱情,https://book.douban.com/subject/1080370/,,[日] 岩井俊二,,10-50万,0-20元,未知,8.5-9分优秀,1,1,43.452340764565434,"['同姓的误', '两段可贵', '的爱情']"
挽救计划,[美] 安迪·威尔,耿辉,译林出版社,9.0,9.1,16119,,https://book.douban.com/subject/35494160/,,[美] 安迪·威尔,,1-5万,0-20元,未知,9分以上神作,1,1,38.286776667124045,[]
银河帝国：基地七部曲,[美] 艾萨克·阿西莫夫,叶李华,江苏凤凰文艺出版社,1.0,9.5,18789,阿西莫夫经典科幻小说,https://book.douban.com/subject/26389895/,,[美] 艾萨克·阿西莫夫,,1-5万,0-20元,未知,9分以上神作,1,2,40.60208483099922,"['经典科幻', '阿西莫夫', '小说']"
从零开始的女性主义,[日本] 上野千鹤子,吕灵芝,北京联合出版公司,9.0,8.7,77400,,https://book.douban.com/subject/35523099/,,[日本] 上野千鹤子,,5-10万,0-20元,未知,8.5-9分优秀,1,1,42.53204635794116,[]
一千零一夜,纳训,人民文学出版社,2003-01,22.0,8.8,63023,阿拉伯地区的古代民间传说,https://book.douban.com/subject/1035848/,2003.0,纳训,,5-10万,20-40元,2000.0年代,8.5-9分优秀,20,1,42.235591837756346,"['阿拉伯地', '区的古代', '民间传说']"
